Gene Symbol	WT_1	WT_2	WT_3	mct1_1	mct1_2	mct1_3	mpc1_1	mpc1_2	mpc1_3	WT_starv_1	WT_starv_2
YBR053C	7.53711	8.20401	9.13013	9.65688	8.18179	9.32638	8.21237	8.71063	8.41747	10.8199	11.8033
											
YRO2	8.49801	9.26323	10.7714	2.9	3.6642	2.5866	15.6808	15.2838	13.4174	8.91983	9.01478
											
PRP6	8.90483	7.95266	8.40223	9.35576	10.287	9.77247	9.05309	8.85171	8.55041	9.45384	9.41601
											
YBR056W	8.29402	7.35649	8.61547	8.2636	8.59084	8.92762	7.96537	8.17719	8.57764	12.7523	12.4794
											
MUM2	11.2966	10.6726	11.8522	8.75024	8.73424	8.52307	8.97627	9.27174	9.46654	6.39372	6.06283
											
UBP14	6.85385	7.99713	8.16711	10.5248	9.62554	9.46306	8.29837	9.53563	9.04196	10.4068	10.0858
											
